CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
517119658,12/27/2015,21:00:00,12/27/2015,21:00:00,12/28/2015,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,67,INSIDE,RESIDENCE - APT. HOUSE,,,1004990,173542,40.64299325,-73.925267508,"(40.64299325, -73.925267508)"
491204602,12/27/2015,20:30:00,12/27/2015,20:30:00,12/28/2015,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,40,INSIDE,GROCERY/BODEGA,,,1010837,236281,40.815180724,-73.903950729,"(40.815180724, -73.903950729)"
761388650,12/27/2015,20:30:00,12/27/2015,22:00:00,12/28/2015,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BROOKLYN,62,INSIDE,RESIDENCE-HOUSE,,,987535,163711,40.616032896,-73.988169146,"(40.616032896, -73.988169146)"
253905306,12/27/2015,20:30:00,12/28/2015,09:00:00,12/28/2015,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,FRONT OF,STREET,,,1022364,253084,40.861257822,-73.862211767,"(40.861257822, -73.862211767)"
457857569,12/27/2015,20:15:00,12/28/2015,06:30:00,12/28/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48,OPPOSITE OF,STREET,,,1014178,245831,40.841382044,-73.891838127,"(40.841382044, -73.891838127)"
645490916,12/27/2015,20:00:00,12/27/2015,23:45:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,47,OPPOSITE OF,STREET,,,1026487,262591,40.887332814,-73.847246396,"(40.887332814, -73.847246396)"
152050688,12/27/2015,20:00:00,12/28/2015,06:00:00,12/28/2015,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,41,OPPOSITE OF,STREET,,,1011499,236432,40.815593159,-73.901558513,"(40.815593159, -73.901558513)"
925015559,12/27/2015,20:00:00,12/28/2015,08:00:00,12/28/2015,109,GRAND LARCENY,421,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,REAR OF,PARKING LOT/GARAGE (PRIVATE),,,1007606,263263,40.88924741,-73.915529344,"(40.88924741, -73.915529344)"
119275477,12/27/2015,20:00:00,12/28/2015,05:15:00,12/28/2015,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,REAR OF,STREET,,,1004806,169903,40.633005402,-73.925941614,"(40.633005402, -73.925941614)"
481491236,12/27/2015,20:00:00,12/28/2015,06:00:00,12/28/2015,107,BURGLARY,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,63,REAR OF,OTHER,,,1009665,165441,40.620745545,-73.908452261,"(40.620745545, -73.908452261)"
